title,content
毎日のジャンプ運動,跳べ！跳べ！骨はジャンプを待ってる！その衝撃が「もっと伸びたい！」と叫ぶ！成長ホルモンも大興奮だ！
ぶら下がり運動で背すじ伸ばし,鉄棒につかまれ！体をぶらーんと伸ばせ！背骨が喜び、成長ホルモンが全力で働くぞ！
ラジオ体操の効果,ラジオ体操をなめるな！全身が目覚め、血が駆け巡る！柔軟な体は成長ホルモンの最高の舞台だ！本気でやれ！
猫背矯正ストレッチ,胸を張れ！猫背は成長を押しつぶす悪習慣だ！背すじを伸ばすだけで呼吸も血流も変わる！成長ホルモンが走り出す！
有酸素運動で血流アップ,走れ！こげ！心臓が高鳴り、血が体中に駆け巡る！酸素が骨に届けば成長ホルモンも全開だ！
体幹トレーニングで土台づくり,体幹を鍛えろ！プランク30秒！スクワット10回！強い土台ができれば成長ホルモンが背を伸ばす！
ストレッチで柔軟性をキープ,伸ばせ！縮こまった筋肉は成長の邪魔だ！血を流し、成長ホルモンを全身に届けろ！柔らかさが未来を伸ばす！
縄跳びでリズム運動,縄跳びは最強だ！跳ぶたびに骨が叫び、成長ホルモンが走る！全身でリズムに乗れ！未来を引き寄せろ！
階段を使おう,階段を選べ！一段ごとに成長ホルモンが働く！それは“背のびトレーニング”への近道だ！
水泳で全身運動,泳げ！全身が伸び伸び働く！関節に優しく、成長ホルモンが骨と筋肉を同時に育てる最高の運動だ！
サッカーで瞬発力＋持久力,ボールを追え！走れ！蹴れ！サッカーは全身を成長させる舞台だ！成長ホルモンも燃えてるぞ！
バスケでジャンプ強化,リングを目指せ！飛べ！ジャンプは骨を刺激し、成長ホルモンが爆発する瞬間だ！
バレーで瞬発ジャンプ,ボールを打ち抜け！何度でも跳べ！その一跳びごとに成長ホルモンが「もっと伸ばせ！」と叫ぶ！
ヨガで姿勢と柔軟性UP,呼吸しろ！姿勢を整えろ！静かな動きが成長ホルモンを呼び込み、骨をじわじわ伸ばす！
ダンスで楽しく運動,踊れ！音楽に身を任せろ！ダンスは楽しく背を伸ばす魔法だ！成長ホルモンが笑顔で働くぞ！
縄跳び二重跳びに挑戦,二重跳びだ！限界に挑め！骨にさらなる衝撃！成長ホルモンが「もっとやれ！」と背を押す！
ランニングで基礎体力UP,走れ！走れ！走れ！一歩ごとに未来へ近づく！ランニングで成長ホルモンが全身を強くするんだ！
縄跳びで下半身強化,縄跳びは下半身の鍛錬だ！ふくらはぎが燃えれば成長ホルモンも燃える！姿勢が整えば背は伸びる！
逆立ちで血流改善,逆立ちだ！世界を逆さに見ろ！血が頭に流れ、成長ホルモンが目を覚ます！
自転車で持久力UP,ペダルを回せ！風を切れ！自転車は脚と心臓を鍛える相棒だ！成長ホルモンが未来を育てる！
登山で全身運動,山を登れ！一歩一歩が挑戦だ！坂道が脚を鍛え、空気が心を澄ませる！成長ホルモンが背を押す！
鉄棒で懸垂,腕で体を引き上げろ！その力が姿勢を正し、成長ホルモンが背を伸ばす準備をする！
ストレッチで股関節を柔らかく,股関節を伸ばせ！硬いままじゃ未来が狭まる！柔らかさが成長ホルモンを呼び込み、背を押す！
バランスボールで体幹トレ,ボールに乗れ！体幹を使え！バランスを取るたびに成長ホルモンが働くんだ！
かかと落とし運動,かかとを落とせ！ドン！ドン！骨が刺激され、成長ホルモンが走る！簡単だけど最強だ！
体操で全身リフレッシュ,座りっぱなしは終わりだ！立て！動け！体操で全身をリセットすれば成長ホルモンが全力で働く！
柔道や空手で体幹強化,礼をして構えろ！武道は心と体を強くする！その姿勢に成長ホルモンが味方する！
かけっこで瞬発力強化,全力で走れ！一瞬に全てをかけろ！かけっこは遊びじゃない！成長ホルモンの真剣勝負だ！
縄跳び交差跳びで挑戦,交差跳びだ！失敗しても挑戦だ！その繰り返しで神経も筋肉も鍛えられ、成長ホルモンが未来を伸ばす！
毎日続ける習慣が力,一気にやっても意味がない！毎日だ！コツコツ続ける勇気が成長ホルモンを呼び覚まし、背を伸ばす！
